                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                 1.0286,                0.72536,                 0.8617,                0.51122,                0.39113,                0.40268,                0.24137,                 1.0743,                0.86383,                0.86743,                0.00406,                0.00406,                0.00406
                     93,                 1.0297,                0.72609,                0.86159,                 0.5057,                0.39181,                0.40141,                 0.2402,                 1.0755,                0.86565,                0.86784,               0.003994,               0.003994,               0.003994
                     94,                 1.0292,                 0.7234,                0.86156,                0.50963,                0.38988,                0.39924,                0.23925,                 1.0754,                0.86437,                0.86818,               0.003928,               0.003928,               0.003928
                     95,                 1.0224,                0.71991,                0.85916,                0.51743,                0.38717,                0.40039,                0.23974,                 1.0749,                0.86357,                0.86807,               0.003862,               0.003862,               0.003862
                     96,                 1.0222,                0.71969,                0.86049,                0.51361,                0.39198,                0.40138,                0.23989,                 1.0729,                0.86333,                0.86768,               0.003796,               0.003796,               0.003796
                     97,                 1.0254,                0.71813,                0.85972,                0.52268,                0.38446,                0.40108,                0.24056,                 1.0739,                  0.864,                0.86795,                0.00373,                0.00373,                0.00373
                     98,                 1.0211,                0.71388,                0.86049,                0.50947,                0.39085,                 0.4004,                0.23974,                 1.0731,                0.86472,                 0.8677,               0.003664,               0.003664,               0.003664
                     99,                 1.0224,                 0.7136,                0.85854,                0.50116,                0.39349,                 0.4009,                0.23989,                 1.0734,                0.86486,                 0.8675,               0.003598,               0.003598,               0.003598
                    100,                 1.0228,                0.71308,                0.85944,                0.50721,                0.39122,                 0.4012,                0.23969,                 1.0735,                 0.8639,                0.86758,               0.003532,               0.003532,               0.003532
                    101,                 1.0165,                0.70551,                0.85889,                0.50951,                0.39206,                0.40098,                0.23915,                 1.0741,                  0.864,                 0.8676,               0.003466,               0.003466,               0.003466
                    102,                 1.0191,                0.70939,                0.85892,                0.51767,                 0.3898,                0.40105,                0.23953,                 1.0739,                0.86312,                0.86774,                 0.0034,                 0.0034,                 0.0034
                    103,                 1.0141,                 0.7039,                0.85805,                0.51259,                 0.3917,                 0.4007,                0.23962,                 1.0748,                0.86446,                 0.8677,               0.003334,               0.003334,               0.003334
                    104,                 1.0173,                0.70408,                0.85943,                0.51015,                0.39181,                0.40036,                0.23913,                 1.0752,                0.86575,                0.86794,               0.003268,               0.003268,               0.003268
                    105,                 1.0185,                0.70476,                0.85965,                0.51397,                0.38865,                0.39934,                0.23973,                 1.0758,                0.86659,                0.86786,               0.003202,               0.003202,               0.003202
                    106,                 1.0166,                0.70466,                0.85826,                0.52075,                0.38787,                0.40023,                0.23998,                 1.0772,                0.86777,                0.86799,               0.003136,               0.003136,               0.003136
                    107,                 1.0158,                0.70227,                0.85776,                0.51661,                 0.3916,                0.40118,                0.24022,                  1.077,                0.86684,                0.86795,                0.00307,                0.00307,                0.00307
                    108,                 1.0099,                0.69619,                0.85662,                0.51289,                0.39228,                0.40094,                0.23991,                 1.0774,                0.86765,                0.86817,               0.003004,               0.003004,               0.003004
                    109,                 1.0078,                0.69253,                0.85729,                0.50705,                0.39307,                0.40029,                0.24007,                 1.0776,                 0.8675,                0.86802,               0.002938,               0.002938,               0.002938
                    110,                 1.0046,                0.69124,                0.85614,                0.51142,                0.39066,                0.39995,                0.23961,                 1.0766,                0.86651,                0.86789,               0.002872,               0.002872,               0.002872
                    111,                 1.0056,                0.69144,                0.85637,                0.51591,                0.38759,                0.39982,                0.23895,                 1.0773,                 0.8659,                 0.8685,               0.002806,               0.002806,               0.002806
                    112,                 1.0055,                0.69176,                0.85557,                0.51359,                 0.3907,                0.40082,                0.23926,                 1.0776,                 0.8648,                0.86833,                0.00274,                0.00274,                0.00274
                    113,                 1.0084,                0.69074,                0.85721,                0.51699,                0.38979,                0.40109,                 0.2397,                 1.0775,                0.86385,                0.86827,               0.002674,               0.002674,               0.002674
